panneauId;imageUrl;contentImageUrl;categoryId;formeId;libelle
RS_217;assets/images/panneaux/RS_217.png;assets/images/panneaux/RS_217q.png;A;danger;Passage d’animaux domestiques
RS_218;assets/images/panneaux/RS_218.png;assets/images/panneaux/RS_218q.png;A;danger;Passage d’animaux domestiques
RS_219;assets/images/panneaux/RS_219.png;assets/images/panneaux/RS_219q.png;A;danger;Passage d’animaux sauvages
RS_220;assets/images/panneaux/RS_220.png;assets/images/panneaux/RS_220q.png;A;danger;Passage de cavaliers
RS_221;assets/images/panneaux/RS_221.png;assets/images/panneaux/RS_221q.png;A;danger;Descente dangereuse
RS_222;assets/images/panneaux/RS_222.png;assets/images/panneaux/RS_222q.png;A;danger;Feux tricolores
RS_223;assets/images/panneaux/RS_223.png;assets/images/panneaux/RS_223q.png;A;danger;Circulation dans les deux sens
RS_224;assets/images/panneaux/RS_224.png;assets/images/panneaux/RS_224q.png;A;danger;Risque de chutes de pierres
RS_225;assets/images/panneaux/RS_225.png;assets/images/panneaux/RS_225q.png;A;danger;Débouché sur un quai ou une berge
RS_226;assets/images/panneaux/RS_226.png;assets/images/panneaux/RS_226q.png;A;danger;Débouché de cyclistes
RS_227;assets/images/panneaux/RS_227.png;assets/images/panneaux/RS_227q.png;A;danger;Traversée d'une aire de danger aérien
RS_228;assets/images/panneaux/RS_228.png;assets/images/panneaux/RS_228q.png;A;danger;Vent latéral
RS_250;assets/images/panneaux/RS_250.png;assets/images/panneaux/RS_250q.png;AB;danger;Priorité à droite
RS_251;assets/images/panneaux/RS_251.png;assets/images/panneaux/RS_251q.png;AB;danger;Priorité ponctuelle
RS_254;assets/images/panneaux/RS_254.png;assets/images/panneaux/RS_254q.png;AB;special_stop;Stop
RS_256;assets/images/panneaux/RS_256.png;assets/images/panneaux/RS_256q.png;AB;danger;Carrefour à sens giratoire
